Code ICD-11,Nom de la maladie
1A61.3,Secondary syphilis of skin or mucous membranes
1A61.4,Secondary syphilis of other sites
1A61.5,Latent early syphilis
1A61.Y,Other specified early syphilis
1A61.Z,Early syphilis
1A62.00,Asymptomatic neurosyphilis
1A62.01,Symptomatic late neurosyphilis
1A62.0Z,Neurosyphilis
1A62.1,Cardiovascular late syphilis
1A62.20,Ocular late syphilis
1A62.21,Late syphilis involving the musculoskeletal system
1A62.22,Late syphilis of skin or mucous membranes
1A62.2Y,Symptomatic late syphilis of other specified sites
1A62.2Z,Symptomatic late syphilis of other sites
1A62.Y,Other specified late syphilis
1A62.Z,Late syphilis
1A63,Latent syphilis
1A6Z,Syphilis
1A70.00,Gonorrhoea of penis
1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.0Z,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess
1A70.Y,Gonococcal infection of other specified genitourinary organ
1A70.Z,Gonococcal genitourinary infection
1A71,Gonococcal pelviperitonitis
1A72.0,Gonococcal infection of musculoskeletal system
1A72.1,Gonococcal infection of rectum
1A72.2,Gonococcal infection of anus
1A72.3,Gonococcal pharyngitis
1A72.4,Gonococcal infection of eye
1A72.Y,Gonococcal infection of other specified sites
1A73,Disseminated gonococcal infection
1A7Z,Gonococcal infection
1A80,Chlamydial lymphogranuloma
1A81.0,Chlamydial infection of lower genitourinary tract
1A81.1,Chlamydial infection of internal reproductive organs
1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site
1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site
1A8Y,Other specified sexually transmissible infections due to chlamydia
1A8Z,Sexually transmissible infections due to chlamydia
1A90,Chancroid
1A91,Granuloma inguinale
1A92,Trichomoniasis
1A93,Sexually transmissible infestations
1A94.0,Herpes simplex infection of genitalia or urogenital tract
1A94.1,Herpes simplex infection of perianal skin or rectum
1A94.Z,Anogenital herpes simplex infection without further specification
1A95.0,Anal warts
1A95.1,Genital warts
1A95.2,Extragenital condylomata acuminata
1A9Y,Other specified predominantly sexually transmitted infections
1A9Z,Predominantly sexually transmitted infections
1B10.0,Respiratory tuberculosis
1B10.1,Respiratory tuberculosis
1B10.Z,Respiratory tuberculosis
1B11.0,Tuberculous meningitis
1B11.1,Tuberculous meningoencephalitis
1B11.2,Meningeal tuberculoma
1B11.3,Tuberculous granuloma of brain
1B11.4,Tuberculous granuloma of the meninges
1B11.Y,Tuberculosis of other specified part of nervous system
1B11.Z,Tuberculosis of the nervous system
1B12.0,Tuberculosis of heart
1B12.1,Tuberculosis of eye
1B12.20,Tuberculosis of inner ear
1B12.21,Tuberculosis of middle ear
1B12.2Y,Other specified tuberculosis of ear
1B12.2Z,Tuberculosis of ear
1B12.3,Tuberculosis of endocrine glands
1B12.40,Tuberculosis of bones or joints
1B12.41,Tuberculous myositis
1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system
1B12.4Z,Tuberculosis of the musculoskeletal system
1B12.5,Tuberculosis of the genitourinary system
1B12.6,Tuberculous peripheral lymphadenopathy
1B12.7,Tuberculosis of the digestive system
1B12.8,Cutaneous tuberculosis
1B12.Y,Tuberculosis of other specified organ or site
1B13.0,Acute miliary tuberculosis of a single specified site
1B13.1,Acute miliary tuberculosis of multiple sites
1B13.Y,Other specified miliary tuberculosis
1B13.Z,Miliary tuberculosis
1B14,Latent tuberculosis
1B1Y,Other specified tuberculosis
1B1Z,Tuberculosis
1B20.0,Paucibacillary leprosy
1B20.1,Multibacillary leprosy
1B20.20,Type I leprosy reaction
1B20.21,Type II leprosy reaction
1B20.3,Complications of leprosy
1B20.Z,Leprosy
1B21.0,Pulmonary infection due to non-tuberculosis mycobacterium
1B21.1,Non-tuberculous mycobacterial lymphadenitis
1B21.20,Mycobacterium ulcerans infection
1B21.2Y,Cutaneous infection due to other specified non-tuberculous mycobacteria
1B21.2Z,Cutaneous infection due to unspecified non-tuberculous mycobacteria
1B21.3,Disseminated non-tuberculous mycobacterial infection
1B21.4,Gastrointestinal non-tuberculous mycobacterial infection
1B21.Y,Non-tuberculous mycobacterial infection of other specified site
1B21.Z,Non-tuberculous mycobacterial infection of unspecified site
1B2Y,Other specified mycobacterial diseases
1B2Z,Mycobacterial diseases
1B40.0,Rheumatic arthritis
1B40.Y,Other specified acute rheumatic fever without mention of heart involvement
1B40.Z,Acute rheumatic fever without mention of heart involvement
1B41.0,Acute rheumatic pericarditis
1B41.10,Rheumatic aortitis
1B41.1Y,Other specified acute rheumatic endocarditis
1B41.1Z,Acute rheumatic endocarditis
1B41.2,Acute rheumatic myocarditis
1B41.Y,Other acute rheumatic heart disease
1B41.Z,Acute rheumatic heart disease
1B42,Rheumatic chorea
1B50,Scarlet fever
1B51,Streptococcal pharyngitis
1B52.0,Streptococcal toxic shock syndrome
1B52.1,Staphylococcal toxic shock syndrome
1B53,Meningitis due to Streptococcus
1B54,Meningitis due to Staphylococcus
1B5Y,Other specified staphylococcal or streptococcal diseases
1B5Z,Staphylococcal or streptococcal diseases
1B70.00,Erysipelas of face
1B70.01,Erysipelas of external ear
1B70.02,Erysipelas of lower limb
1B70.0Y,Erysipelas of other specified site
1B70.1,Streptococcal cellulitis of skin
1B70.2,Staphylococcal cellulitis of skin
1B70.3,Ascending bacterial lymphangitis
1B70.Y,Bacterial cellulitis or lymphangitis due to other specified bacterium
1B70.Z,Bacterial cellulitis or lymphangitis due to unspecified bacterium
1B71.0,Streptococcal necrotising fasciitis
1B71.1,Polymicrobial necrotising fasciitis
1B71.2,Neonatal necrotising fasciitis
1B71.Y,Necrotising fasciitis due to other specified bacterial infection
1B71.Z,Necrotising fasciitis
1B72.0,Bullous impetigo
1B72.1,Non-bullous impetigo
1B72.2,Secondary impetiginization of the skin
1B72.Y,Other specified impetigo
1B72.Z,Impetigo
1B73.0,Streptococcal ecthyma
1B73.1,Staphylococcal ecthyma
1B73.2,Ecthyma gangrenosum
1B73.Y,Other specified ecthyma
1B73.Z,Ecthyma
1B74.0,Staphylococcus aureus superficial folliculitis
1B74.Y,Superficial bacterial folliculitis due to other specified organism
1B74.Z,Superficial bacterial folliculitis due to unspecified organism
1B75.0,Furuncle
1B75.1,Carbuncle
1B75.2,Furunculosis
1B75.3,Pyogenic abscess of the skin
1B75.4,Chronic deep bacterial folliculitis
1B7Y,Other specified pyogenic bacterial infection of skin and subcutaneous tissue
1B90.0,Spirillosis
1B90.1,Streptobacillosis
1B91,Leptospirosis
1B92,Glanders
1B93.0,Bubonic plague
1B93.1,Cellulocutaneous plague
1B93.2,Pneumonic plague
1B93.3,Plague meningitis
1B93.Y,Other specified plague
1B93.Z,Plague
1B94.0,Ulceroglandular tularaemia
1B94.Y,Other specified tularaemia
1B94.Z,Tularaemia
1B95,Brucellosis
1B96,Erysipeloid
1B97,Anthrax
1B98,Cat-scratch disease
1B99,Pasteurellosis
1B9A,Extraintestinal yersiniosis
1B9Z,Unspecified zoonotic bacterial disease
1C10.0,Pulmonary actinomycosis
1C10.1,Abdominal actinomycosis
1C10.2,Cervicofacial actinomycosis
1C10.3,Primary cutaneous actinomycosis
1C10.Y,Other specified forms of actinomycosis
1C10.Z,Actinomycosis
1C11.00,Oroya fever
1C11.01,Verruga peruana
1C11.1,Trench fever
1C11.Y,Other forms of bartonellosis
1C12.0,Whooping cough due to Bordetella pertussis
1C12.1,Whooping cough due to Bordetella parapertussis
1C12.Y,Other specified whooping cough
1C12.Z,Whooping cough
1C13,Tetanus
1C14,Obstetrical tetanus
1C15,Tetanus neonatorum
1C16,Gas gangrene
1C17.00,Postdiphtheritic paralysis of uvula
1C17.0Y,Other specified pharyngeal or tonsillar diphtheria
1C17.0Z,Pharyngeal or tonsillar diphtheria
1C17.1,Nasal diphtheria
1C17.2,Laryngeal diphtheria
1C17.3,Cutaneous diphtheria
1C17.Y,Other specified diphtheria
1C17.Z,Diphtheria
1C18,Brazilian purpuric fever
1C19.0,Nonpneumonic Legionnaires' disease
1C1A.0,Cutaneous listeriosis
1C1A.1,Listerial meningitis or meningoencephalitis
1C1A.Y,Other specified listeriosis
1C1A.Z,Listeriosis
1C1B.0,Pulmonary nocardiosis
1C1B.1,Cutaneous nocardiosis
1C1B.Y,Other specified forms of nocardiosis
1C1B.Z,Nocardiosis
1C1C.0,Meningococcal meningitis
1C1C.1,Waterhouse-Friderichsen syndrome
1C1C.20,Acute meningococcaemia
1C1C.2Y,Other specified meningococcaemia
1C1C.2Z,Meningococcaemia
1C1C.Y,Other specified meningococcal disease
1C1C.Z,Meningococcal disease
1C1D.0,Primary yaws
1C1D.1,Secondary yaws
1C1D.2,Tertiary yaws
1C1D.3,Latent yaws
1C1E.0,Primary lesions of pinta
1C1E.1,Intermediate lesions of pinta
1C1E.2,Late lesions of pinta
1C1E.3,Mixed lesions of pinta
1C1F,Endemic non-venereal syphilis
1C1G.0,Early cutaneous Lyme borreliosis
1C1G.10,Lyme neuroborreliosis
1C1G.11,Lyme carditis
1C1G.12,Ophthalmic Lyme borreliosis
1C1G.13,Lyme arthritis
1C1G.14,Late cutaneous Lyme borreliosis
1C1G.1Y,Other specified disseminated Lyme borreliosis
1C1G.1Z,Disseminated Lyme borreliosis
1C1G.Y,Other specified Lyme borreliosis
1C1H.0,Other Vincent infections
1C1H.Y,Other specified necrotising ulcerative gingivitis
1C1H.Z,Necrotising ulcerative gingivitis
1C1J.0,Tick-borne relapsing fever
1C1J.1,Louse-borne relapsing fever
1C20,Chlamydial conjunctivitis
1C21,Chlamydial peritonitis
1C22,Infections due to Chlamydia psittaci
1C23.0,Initial stage of trachoma
1C23.1,Active stage of trachoma
1C23.Y,Other specified trachoma
1C23.Z,Trachoma
1C2Y,Other specified diseases due to chlamydiae
1C2Z,Other diseases due to chlamydiae
1C30.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
1C30.1,Recrudescent typhus
1C30.2,Typhus fever due to Rickettsia typhi
1C30.3,Typhus fever due to Orientia tsutsugamushi
1C30.Y,Other specified typhus fever
1C30.Z,Typhus fever
1C31.0,Spotted fever due to Rickettsia rickettsii
1C31.1,Spotted fever due to Rickettsia conorii
1C31.2,Spotted fever due to Rickettsia sibirica
1C31.3,Spotted fever due to Rickettsia australis
1C31.Y,Other specified spotted fever
1C31.Z,Spotted fever
1C32,Rickettsialpox
1C33,Q fever
1C3Y,Other specified rickettsioses
1C3Z,Rickettsioses
1C40,Campylobacteriosis
1C41,Bacterial infection of unspecified site
1C42,Melioidosis
1C43,Actinomycetoma
1C44,Non-pyogenic bacterial infections of the skin
1C4Y,Other specified bacterial diseases
1C4Z,Unspecified bacterial disease
1C60.0,HIV disease clinical stage 1 associated with tuberculosis
1C60.1,HIV disease clinical stage 2 associated with tuberculosis
1C60.2,HIV disease clinical stage 3 associated with tuberculosis
1C60.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis
1C60.3Y,Other specified HIV disease clinical stage 4 associated with tuberculosis
1C60.3Z,HIV disease clinical stage 4 associated with tuberculosis
1C60.Z,Human immunodeficiency virus disease associated with tuberculosis
1C61.0,HIV disease clinical stage 1 associated with malaria
1C61.1,HIV disease clinical stage 2 associated with malaria
1C61.2,HIV disease clinical stage 3 associated with malaria
1C61.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with malaria
1C61.3Y,Other specified HIV disease clinical stage 4 associated with malaria
1C61.3Z,HIV disease clinical stage 4 associated with malaria
1C61.Z,Human immunodeficiency virus disease associated with malaria
1C62.0,HIV disease clinical stage 1 without mention of tuberculosis or malaria
1C62.1,HIV disease clinical stage 2 without mention of tuberculosis or malaria
1C62.2,HIV disease clinical stage 3 without mention of tuberculosis or malaria
1C62.3,HIV disease clinical stage 4 without mention of tuberculosis or malaria
1C62.Z,Human immunodeficiency virus disease without mention of associated disease or condition
1C80,Viral encephalitis not elsewhere classified
1C81,Acute poliomyelitis
1C82,Rabies
1C83,Western equine encephalitis
1C84,Eastern equine encephalitis
1C85,Japanese encephalitis
1C86,St Louis encephalitis
1C87,Rocio viral encephalitis
1C88,Murray Valley encephalitis
1C89,Far Eastern tick-borne encephalitis
1C8A,Central European tick-borne encephalitis
1C8B,California encephalitis
1C8C,Venezuelan equine encephalitis
1C8D,La Crosse encephalitis
1C8E.2,Meningitis due to adenovirus
1C8E.1,Enteroviral meningitis
1C8E.Y,Other specified viral meningitis not elsewhere classified
1C8E.Z,Viral meningitis not elsewhere classified
1C8F,Lymphocytic choriomeningitis
1C8Y,Other specified viral infections of the central nervous system
1C8Z,Viral infections of the central nervous system
1D00.0,Bacterial encephalitis
1D00.1,Fungal encephalitis
1D00.2,Parasitic or protozoal encephalitis
1D00.Y,Other specified infectious encephalitis not elsewhere classified
1D00.Z,Infectious encephalitis not elsewhere classified
1D01.00,Meningitis due to Haemophilus influenzae
1D01.0Y,Other specified bacterial meningitis
1D01.0Z,Bacterial meningitis
1D01.10,Meningitis due to Cryptococcus neoformans
1D01.1Y,Other specified fungal meningitis
1D01.1Z,Fungal meningitis
1D01.2,Parasitic or protozoal meningitis
1D01.3,Benign recurrent meningitis
1D01.Y,Other specified infectious meningitis not elsewhere classified
1D01.Z,Infectious meningitis not elsewhere classified
1D02.0,Bacterial myelitis
1D02.1,Viral myelitis
1D02.2,Fungal myelitis
1D02.3,Parasitic myelitis
1D02.Y,Other specified infectious myelitis not elsewhere classified
1D02.Z,Infectious myelitis not elsewhere classified
1D03.0,Intraspinal intramedullary abscess
1D03.1,Intraspinal subdural abscess
1D03.2,Intraspinal extradural abscess
1D03.30,Deep cerebral hemispheric abscess
1D03.31,Abscess of the corpus callosum
1D03.32,Pituitary abscess
1D03.33,Multiple or widespread intracranial abscess
1D03.3Y,Other specified intracranial abscess
1D03.3Z,Intracranial abscess
1D03.4,Intraspinal epidural abscess
1D03.5,Spinal cord abscess
1D03.Y,Other specified infectious abscess of the central nervous system
1D03.Z,Infectious abscess of the central nervous system
1D04.0,Parasitic intracerebral granuloma
1D04.10,Fungal intracranial granuloma
1D04.1Y,Other specified intracranial granuloma
1D04.1Z,Intracranial granuloma
1D04.2,Intraspinal intramedullary granuloma
1D04.3,Intraspinal subdural granuloma
1D04.4,Intraspinal extradural granuloma
1D04.5,Intraspinal epidural granuloma
1D04.Y,Other specified infectious granulomas of the central nervous system
1D04.Z,Infectious granulomas of the central nervous system
1D05.0,Epidural infectious cyst
1D05.1,Subdural infectious cyst
1D05.Y,Other specified infectious cysts of the central nervous system
1D05.Z,Infectious cysts of the central nervous system
1D0Y,Other specified non-viral and unspecified infections of the central nervous system
1D0Z,Non-viral and unspecified infections of the central nervous system
1D20,Dengue without warning signs
1D21,Dengue with warning signs
1D22,Severe dengue
1D2Z,Dengue fever
1D40,Chikungunya virus disease
1D41,Colorado tick fever
1D42,O'nyong-nyong fever
1D43,Oropouche virus disease
1D44,Rift Valley fever
1D45,Sandfly fever
1D46,West Nile virus infection
1D47,Yellow fever
1D48,Zika virus disease
1D49,Crimean-Congo haemorrhagic fever
1D4A,Omsk haemorrhagic fever
1D4B,Kyasanur Forest disease
1D4C,Alkhurma haemorrhagic fever
1D4D,Ross River disease
1D4E,Severe fever with thrombocytopenia syndrome
1D4Y,Other specified arthropod-borne viral fevers
1D4Z,Arthropod-borne viral fever
1D60.00,Bundibugyo virus disease
1D60.01,Ebola virus disease
1D60.02,Sudan virus disease
1D60.03,Atypical Ebola disease
1D60.0Y,Other specified Ebola disease
1D60.0Z,Ebola disease
1D60.10,Marburg virus disease
1D60.11,Atypical Marburg disease
1D60.1Y,Other specified Marburg disease
1D60.1Z,Marburg disease
1D60.Y,Other specified filovirus disease
1D60.Z,Filovirus disease
1D61.0,Argentinian haemorrhagic fever
1D61.1,Bolivian haemorrhagic fever
1D61.2,Lassa fever
1D61.3,Venezuelan haemorrhagic fever
1D61.Y,Other specified arenavirus disease
1D61.Z,Arenavirus disease
1D62.0,Haemorrhagic fever with renal syndrome
1D62.1,Hantavirus pulmonary syndrome
1D62.2,Atypical hantavirus disease
1D62.Y,Other specified hantavirus disease
1D62.Z,Hantavirus disease
1D63,Henipavirus encephalitis
1D64,Middle East respiratory syndrome
1D65,Severe acute respiratory syndrome
1D6Y,Other specified zoonotic viral diseases
1D6Z,Zoonotic viral disease
1D80.0,Mumps without complication
1D80.1,Orchitis due to mumps virus
1D80.2,Meningitis due to mumps virus
1D80.3,Encephalitis due to mumps virus
1D80.4,Pancreatitis due to mumps virus
1D80.Y,Other specified mumps
1D81.0,Mononucleosis due to Epstein-Barr virus
1D81.1,Mononucleosis due to cytomegalovirus
1D81.Y,Other specified infectious mononucleosis
1D81.Z,Infectious mononucleosis
1D82.0,Cytomegaloviral hepatitis
1D82.1,Cytomegaloviral pancreatitis
1D82.Y,Other specified cytomegaloviral disease
1D82.Z,Cytomegaloviral disease
1D83,Epidemic myalgia
1D84.0,Conjunctivitis due to adenovirus
1D84.1,Acute epidemic haemorrhagic conjunctivitis
1D84.Y,Other specified viral conjunctivitis
1D84.Z,Viral conjunctivitis
1D85.0,Dilated cardiomyopathy secondary to viral myocarditis
1D85.1,Acute viral carditis
1D85.2,Chronic viral carditis
1D85.3,Aseptic myocarditis of newborn
1D85.4,Coxsackie carditis
1D85.Y,Other specified viral carditis
1D85.Z,Viral carditis
1D86,Viral haemorrhagic fever
1D90,Adenovirus infection of unspecified site
1D91,Enterovirus infection of unspecified site
1D92,Coronavirus infection
1D93,Parvovirus infection of unspecified site
1D9Y,Other viral infections of unspecified site
1D9Z,Unspecified viral infection of unspecified site
1E1Y,Other specified viral diseases
1E1Z,Unspecified viral disease
1.00E+30,Influenza due to identified seasonal influenza virus
1.00E+31,Influenza due to identified zoonotic or pandemic influenza virus
1.00E+32,Influenza
1E50.0,Acute hepatitis A
1E50.1,Acute hepatitis B
1E50.2,Acute hepatitis C
1E50.3,Acute hepatitis D
1E50.4,Acute hepatitis E
1E50.Y,Other specified acute viral hepatitis
1E50.Z,Acute viral hepatitis
1E51.00,Chronic hepatitis B with human immunodeficiency virus co-infection
1E51.0Y,Other specified chronic hepatitis B
1E51.0Z,Chronic hepatitis B
1E51.1,Chronic hepatitis C
1E51.2,Chronic hepatitis D
1E51.3,Chronic hepatitis E
1E51.Y,Other specified chronic viral hepatitis
1E51.Z,Chronic viral hepatitis
1E5Z,Viral hepatitis
1.00E+70,Smallpox
1.00E+71,Monkeypox
1.00E+72,Cowpox
1.00E+73,Vaccinia
1.00E+74,Buffalopox
1.00E+75,Orf
1.00E+76,Molluscum contagiosum
1E7Y,Other specified infections due to poxvirus
1E7Z,Infections due to poxvirus
1E80.0,Digital or periungual warts
1E80.1,Plantar warts
1E80.Y,Other specified common warts
1.00E+81,Plane warts
1E82.0,Focal epithelial hyperplasia of oral mucous membranes
1.00E+83,Wart virus proliferation in immune-deficient states
1E8Z,Viral warts
1E90.0,Varicella without complication
1E90.1,Varicella meningitis
1E90.2,Varicella encephalitis
1E90.Y,Varicella with other specified complication
1E90.Z,Varicella
1E91.0,Zoster without complications
1E91.1,Ophthalmic zoster
1E91.2,Disseminated zoster
1E91.3,Zoster with central nervous system involvement
1E91.40,Acute trigeminal zoster neuropathy
1E91.41,Acute herpetic geniculate ganglionitis
1E91.4Y,Other specified acute neuropathy of cranial nerve due to zoster
1E91.5,Postherpetic polyneuropathy
1E91.Y,Zoster with other specified complications
1E91.Z,Zoster
1F00.00,Herpes simplex infection of skin
1F00.01,Herpes simplex labialis
1F00.02,Herpes simplex gingivostomatitis
1F00.03,Disseminated cutaneous herpes simplex infection complicating other skin diseases
1F00.0Y,Other specified herpes simplex infection of skin or mucous membrane
1F00.10,Herpes simplex keratitis
1F00.11,Herpes simplex infection of eyelid
1F00.1Y,Other specified herpes simplex infection of the eye
1F00.1Z,Herpes simplex infection of the eye
1F00.20,Herpes simplex meningitis
1F00.21,Encephalitis due to herpes simplex virus
1F00.3,Disseminated herpes simplex infection
1F00.Y,Other specified herpes simplex infections
1F00.Z,Herpes simplex infections
1F01,Roseola infantum
1F02.0,Rubella with neurological complications
1F02.1,Rubella arthritis
1F02.2,Rubella without complication
1F02.Y,Rubella with other specified complication
1F03.0,Measles without complication
1F03.1,Measles complicated by encephalitis
1F03.2,Measles complicated by meningitis
1F03.Y,Measles with other complications
1F04,Erythema infectiosum
1F05.0,Enteroviral vesicular stomatitis
1F05.1,Enteroviral vesicular pharyngitis
1F05.2,Enteroviral exanthematous fever
1F05.3,Foot and mouth disease
1F05.Y,Other specified picornavirus infections presenting in the skin or mucous membranes
1F0Y,Other specified viral infections characterised by skin or mucous membrane lesions
1F0Z,Viral infections characterised by skin or mucous membrane lesions
1F20.00,Invasive aspergillosis of the digestive tract
1F20.01,Invasive cerebral aspergillosis
1F20.02,Disseminated aspergillosis
1F20.0Y,Invasive aspergillosis of other specified site
1F20.10,Aspergillus otomycosis
1F20.11,Chronic aspergillosis of the paranasal sinuses
1F20.12,Chronic pulmonary aspergillosis
1F20.13,Tonsillar aspergillosis
1F20.14,Aspergillus bronchitis
1F20.15,Obstructing aspergillus tracheobronchitis
1F20.1Y,Other specified non-invasive aspergillosis
1F20.Z,Aspergillosis
1F21,Basidiobolomycosis
1F22,Blastomycosis
1F23.0,Candidosis of lips or oral mucous membranes
1F23.10,Vulvovaginal candidosis
1F23.11,Candida balanoposthitis
1F23.12,Flexural or intertriginous candidosis
1F23.13,Candidosis of nail or paronychium
1F23.14,Chronic mucocutaneous candidosis
1F23.15,Disseminated cutaneous candidosis
1F23.16,Candida otomycosis
1F23.1Y,Candidosis of skin or mucous membrane of other specified site
1F23.1Z,Candidosis of skin or mucous membranes
1F23.2,Candidosis of gastrointestinal tract
1F23.30,Candida meningitis
1F23.31,Pulmonary candidosis
1F23.3Y,Other specified systemic or invasive candidosis
1F23.3Z,Systemic or invasive candidosis
1F23.Y,Other specified candidosis
1F23.Z,Candidosis
1F24,Chromoblastomycosis
1F25.00,Acute pulmonary coccidioidomycosis
1F25.01,Chronic pulmonary coccidioidomycosis
1F25.10,Disseminated coccidioidomycosis
1F25.11,Primary cutaneous coccidioidomycosis
1F25.12,Coccidioides meningitis
1F25.1Y,Other specified extrathoracic coccidioidomycosis
1F25.Z,Coccidioidomycosis
1F26,Conidiobolomycosis
1F27.0,Pulmonary cryptococcosis
1F27.1,Cerebral cryptococcosis
1F27.2,Disseminated cryptococcosis
1F27.Y,Other specified cryptococcosis
1F27.Z,Cryptococcosis
1F28.0,Dermatophytosis of scalp
1F28.1,Dermatophytosis of nail
1F28.2,Dermatophytosis of foot
1F28.3,Genitocrural dermatophytosis
1F28.4,Kerion
1F28.5,Disseminated dermatophytosis
1F28.Y,Other specified dermatophytosis
1F28.Z,Dermatophytosis
1F29,Eumycetoma
1F2A.0,Pulmonary histoplasmosis capsulati
1F2A.1,Histoplasmosis due to Histoplasma duboisii
1F2A.Y,Other specified histoplasmosis
1F2A.Z,Histoplasmosis
1F2B,Lobomycosis
1F2C,Mucormycosis
1F2D.0,Pityriasis versicolor
1F2D.1,Malassezia folliculitis
1F2D.2,White piedra
1F2D.3,Black piedra
1F2D.4,Tinea nigra
1F2D.5,Onychomycosis due to non-dermatophyte mould
1F2D.Y,Other specified non-dermatophyte superficial dermatomycoses
1F2E.0,Pulmonary paracoccidioidomycosis
1F2E.1,Disseminated paracoccidioidomycosis
1F2E.Y,Other specified paracoccidioidomycosis
1F2E.Z,Paracoccidioidomycosis
1F2F,Phaeohyphomycosis
1F2G.0,Pulmonary pneumocystosis
1F2G.Z,Pneumocystosis
1F2H,Scedosporiosis
1F2J.0,Lymphocutaneous sporotrichosis
1F2J.1,Fixed cutaneous sporotrichosis
1F2J.2,Pulmonary sporotrichosis
1F2J.3,Disseminated sporotrichosis
1F2J.Y,Other specified sporotrichosis
1F2J.Z,Sporotrichosis
1F2K,Talaromycosis
1F2Z,Mycoses
1F40.0,Plasmodium falciparum malaria with cerebral complications
1F40.Y,Other severe and complicated Plasmodium falciparum malaria
1F40.Z,Malaria due to Plasmodium falciparum
1F41.0,Plasmodium vivax malaria with rupture of spleen
1F41.Y,Malaria due to Plasmodium vivax with other complications
1F41.Z,Plasmodium vivax malaria without complication
1F42.0,Plasmodium malariae malaria with nephropathy
1F42.Y,Malaria due to Plasmodium malariae with other complications
1F42.Z,Plasmodium malariae malaria without complication
1F43,Malaria due to Plasmodium ovale
1F44,Other parasitologically confirmed malaria
1F45,Malaria without parasitological confirmation
1F4Z,Malaria
1F50,Acanthamoebiasis
1F51.00,Meningitis in Gambiense trypanosomiasis
1F51.0Y,Other specified gambiense trypanosomiasis
1F51.0Z,Gambiense trypanosomiasis
1F51.10,Meningitis in Rhodesiense trypanosomiasis
1F51.1Y,Other specified rhodesiense trypanosomiasis
1F51.1Z,Rhodesiense trypanosomiasis
1F51.Y,Other specified african trypanosomiasis
1F51.Z,African trypanosomiasis
1F52,Babesiosis
1F53.0,Acute Chagas disease with heart involvement
1F53.1,Acute Chagas disease without heart involvement
1F53.2,Chronic Chagas disease with heart involvement
1F53.3,Chagas disease with digestive system involvement
1F53.4,Meningitis in Chagas disease
1F53.Y,Other specified Chagas disease
1F53.Z,Chagas disease
1F54.0,Visceral leishmaniasis
1F54.1,Cutaneous leishmaniasis
